BP_Code,Name,lat,lng
V000373,Kingfisher Recruitment (Singapore) Pte Ltd,1.2826882,103.849836
V000084,Klareco Communications Pte Ltd,1.2824439,103.8490256
V000275,Klareco Communications Pte Ltd,1.2824439,103.8490256
V000384,Knowles Training Institute Private Limited,1.2955249,103.8584952
V000176,Korn Ferry,25.1242902,121.525904
V000453,Korn Ferry RPOPS (SG) Pte. Ltd.,1.293309,103.860354
V000412,Korvis Automation Asia Pte Ltd,1.4547197,103.809966
V000463,KOSO Ad Pte Ltd,1.4286225,103.7954546
V000177,KPMG,1.2814095,103.8510185
V000498,KPMG LLP,1.2814095,103.8510185
V000379,KPMG Services Pte Ltd,1.2814095,103.8510185
V000368,Krislup Limited,18.43563,64.61027
V000467,Krislup Limited,18.43563,64.61027
V000420,"Kua Puay Fen, Louisa",1.4333255999999999,103.7764856
V000220,Kumpulan Development (S) Pte Ltd,1.3377403,103.8950963
V000501,KY Project Management Services,1.358606,103.833566
V000534,L & L Design Services,1.3116896,103.8624664
V000625,Labrador Hill Pte Ltd,1.2679434,103.8004802
V000528,Lamipak Environment Pte Ltd,1.3227672,103.851969
V000212,Lantone,1.3272146,103.8979823
V000238,Learners Hub Pte Ltd,1.3363565,103.8859108
V000060,Lee Hung Scientific Pte Ltd,1.340546,103.7558942
V000643,Leow Jianxion Darren Gabriel,1.3026295,103.9120706
V000075,LGC Genomics Ltd,51.7616966,0.0027737
V000076,LGC Genomics Ltd,51.7616966,0.0027737
V000698,Liberte HR Services Pte Ltd,1.278027,103.8479839
V000077,Liew Secretarial Services,1.300401,103.8523563
V000554,Life Science Unicorns Consultancy Limited,22.31185,114.1822758
V000078,Life Technologies Corporation,43.0080745,-79.0095847
V000079,Life Technologies Holdings Pte Ltd,1.4402935000000001,103.7833214
V000236,Life Technologies Holdings Pte Ltd,1.4396879999999999,103.7822918
V000518,Lifeline Neighbourhood Medical Clinic Pte. Ltd.,1.3481291,103.7571273
V000406,Lim Lee Meng,1.352083,103.819836
V000407,Lim Tai San Noah,1.352083,103.819836
V000551,Lingua Technologies International Pte Ltd,1.3082788,103.8579557
V000319,Linkedin Singapore Pte Ltd,1.352083,103.819836
V000567,"Links HR (Thailand) Co.,Ltd",13.7295663,100.5712674
V000614,Links HR Australia Pty Ltd,-33.8382841,151.2086505
V000446,Links HR Malaysia Sdn Bhd,3.1280629,101.6791614
